,0,,opening revenue,gross revenue
333,,,727266,17493096
334,,,75812205,216648740
335,,,1265572,3026351
336,,,12827,117460
337,,,13617,67596
338,,,107105,992305
339,,,35994,97649
340,,,4024,42601
341,,,45856,77980
342,,,44076225,167510016
343,,,24905015,68420120
344,,,8100,217932
345,,,263797,13539709
346,,,315,4491
347,,,168354,390077
348,,,10920,29017
349,,,83339,2793039
350,,,7407,26566
351,,,71472,183008
352,,,35834,237709
353,,,21504,34366
354,,,36011640,102084362
355,,,10670,87389
356,,,30597,89988
357,,,98873,1257275
358,,,19885,166018
359,,,34952180,120634935
360,,,3653035,8866745
361,,,338999,4333394
362,,,6302,67020
363,,,4505,21855
364,,,126929,262963
365,,,28144,461689
366,,,61236534,220159104
367,,,328828,2342264
368,,,61214,2032018
369,,,10411189,29790236
370,,,7568,108708
371,,,2476,31177
372,,,4098,21201
373,,,4993,33877
374,,,6080,11321
375,,,311743,1200246
376,,,12309,73304
377,,,5842609,12695691
378,,,98460,182009
379,,,10322,61271
380,,,1436,3000
381,,,12103043,33562069
382,,,2030,3696
383,,,2356522,5885881
384,,,24585139,99215042
385,,,48638,904703
386,,,109707,231434
387,,,2554766,6809080
388,,,45402195,145443742
389,,,263412,670883
390,,,18065,236799
391,,,10845330,48686605
392,,,11371866,30569484
393,,,18009,185576
394,,,3032,5434
395,,,14453,14453
396,,,43348,500803
397,,,16046,77987
398,,,77955,178471
399,,,898,2367
400,,,158101,516962
401,,,26510140,174532921
402,,,11653,103636
403,,,2239,4867
404,,,85505,147175
405,,,60886,3444895
406,,,63357,400961
407,,,13710825,36108758
408,,,108284,9601092
409,,,6812,11998
410,,,10352512,35857181
411,,,44050,704955
412,,,18302,406490
413,,,7878,90288
414,,,51167,129124
415,,,589155,1209645
416,,,8787,18644
417,,,2791,5004
418,,,75736,1588150
419,,,19065,37727
420,,,283399,990230
421,,,3133,3133
422,,,1090073,2335896
423,,,9532425,20706452
424,,,388769,26020957
425,,,72376,103385
426,,,2798229,6501381
427,,,6022758,17612099
428,,,761,35381
429,,,3467,20069
430,,,11918,93409
431,,,41225,85624
432,,,16519,578717
433,,,30660,58177
434,,,401563,713143
435,,,3035618,5718096
436,,,1803848,4165949
437,,,9509,19862
438,,,933,1743
439,,,6650,117470
440,,,1386254,2846257
441,,,8252,50711
442,,,30998,360931
443,,,1304,3751
444,,,108,147
445,,,53807379,117450119
446,,,13423255,35418723
447,,,9830,28293
448,,,5150,45889
449,,,5166,15552
450,,,225723,1214525
451,,,416047,1807117
452,,,24632284,51005080
453,,,292439,567417
454,,,47580,642157
455,,,7616,12368
456,,,67743,67743
457,,,76108,547750
458,,,8860431,24011188
459,,,21615,112191
460,,,8640,112282
461,,,2238723,6216897
462,,,2227,3948
463,,,8295,22201
464,,,7167,43169
465,,,11231,276195
466,,,12421,124220
467,,,16011689,53548586
468,,,67760,76386
469,,,1593,2150
470,,,28840,75506
471,,,8052,9855
472,,,16554,148505
473,,,357322,658982
474,,,707875,707875
475,,,9058,44002
476,,,123983,472166
477,,,1050021,2005142
478,,,1100,1100
479,,,2211,3895
480,,,51119,245006
481,,,14777,889343
482,,,2958,7082
483,,,115575,3143056
484,,,2123463,4102648
485,,,161179,5137622
486,,,153847,249122
487,,,9644,64147
488,,,26608020,68549695
489,,,189639,626318
490,,,14273,110986
491,,,3008563,6352306
492,,,1388499,5754556
493,,,130675,148568
494,,,26468,100335
495,,,27257615,77339130
496,,,23045635,83240103
497,,,5130963,11107431
498,,,142131,11277120
499,,,4174,11746
500,,,121391,285795
501,,,705063,1379497
502,,,11087,161565
503,,,43573,230808
504,,,274,3292
505,,,8150,11598
506,,,581950,790628
507,,,294288,17541090
508,,,118697,500101
509,,,8600,57520
510,,,35490,74711
511,,,4416,31970
512,,,4734,13793
513,,,42908051,215288866
514,,,16564,22017
515,,,7107,118344
516,,,14909,192058
517,,,512035,29719483
518,,,5419,10153
519,,,278677,1193046
520,,,9949,14030
521,,,205842,333388
522,,,80255756,213515506
523,,,1187275,1595902
524,,,2160,43968
525,,,38886,466440
526,,,6094,229423
527,,,1162988,3679893
528,,,51115,71971
529,,,815,1359
530,,,7132647,17790429
531,,,84512,380030
532,,,218888,8986631
533,,,31477,46382
534,,,1402,3243
535,,,10511,28971
536,,,2375,4215
537,,,29077,401463
538,,,4222,7072
539,,,16006065,44936545
540,,,15802225,46700633
541,,,81878,81878
542,,,3086,54920
543,,,26579,37058
544,,,4374,26759
545,,,4355,10402
546,,,840,1520
547,,,5212,6701
548,,,556,812
549,,,161510,8803865
550,,,258157,7362439
551,,,67612,104079
552,,,104589,1050616
553,,,4412,13509
554,,,76221545,159342015
555,,,16817,87400
556,,,17683,260136
557,,,60050,207140
558,,,898384,1195758
559,,,6536,22083
560,,,26130,718991
561,,,5847,17325
562,,,1503101,3511417
563,,,3984,27723
564,,,184037,5458621
565,,,6511,11257
566,,,6653777,15767460
567,,,1453,2488
568,,,18326,167937
569,,,5172,63570
570,,,4279,13926
571,,,14180,60607
572,,,90480,158723
573,,,1352,1368
574,,,1638895,4412170
575,,,7424,14905
576,,,168575,252676
577,,,73700,771930
578,,,765549,1023233
579,,,20352491,54858851
580,,,53000,113956
581,,,207057,6788692
582,,,5996,36686
583,,,60491,1633208
584,,,32952,58090
585,,,51061119,216428042
586,,,13743111,31713110
587,,,288095,540707
588,,,51543,2000105
589,,,1983,14316
590,,,1185386,1449848
591,,,80485,180946
592,,,6349,9893
593,,,67572855,270620950
594,,,7509,68407
595,,,2515,4461
596,,,4667,4667
597,,,2686,5213
598,,,7810112,14841338
599,,,10202108,21704844
600,,,3090,5210
601,,,23348,109608
602,,,8090,13337
603,,,639253,849710
604,,,168718,171177
605,,,2840,3829
606,,,2420197,3643903
607,,,2437,11947
608,,,14504315,67363237
609,,,320429,85080171
610,,,71187,551876
611,,,92856,2294915
612,,,340,7427
613,,,12361307,42402632
614,,,2271,3429
615,,,62163104,159555901
616,,,5175,8208
617,,,35574710,115715889
618,,,56237634,201091711
619,,,22482,268644
620,,,9195670,30824628
621,,,456,1034
622,,,89264,3313513
623,,,9263,36506
624,,,422410,34366783
625,,,5361,120486
626,,,255299,789170
627,,,291936,2607916
628,,,63325,812794
629,,,4324,14914
630,,,8715,12350
631,,,52588,545597
632,,,5127,16172
633,,,50011,203775
634,,,183,10389
635,,,42133,101417
636,,,6401744,14837422
637,,,2775000,4152000
638,,,307686,307686
639,,,304482,304482
640,,,187824,187946
641,,,4128,26167
642,,,6059,21456
643,,,10974,20726
644,,,10336,20471
645,,,80734,3703184
646,,,271061,1875283
647,,,3080,18829
648,,,57353,4450456
649,,,18833,38510
650,,,407118,901131
651,,,155714,727119
652,,,194777,16468499
653,,,2770,4145
654,,,580,1469
655,,,151972,151983
656,,,473802,695130
657,,,10238,187320
658,,,35363376,190241310
659,,,17509431,103804407
660,,,3256,6235
661,,,579,1447
662,,,7559850,15951040
663,,,224476,14915773
664,,,1319,1319
665,,,12678,174686
666,,,24988,1661096
667,,,54916,54916
668,,,1333159,1882931
669,,,23523121,171958438
670,,,35363,105678
671,,,67873522,335061807
672,,,21654047,127195589
673,,,2354205,10763520
674,,,1035388,1035388
675,,,1844,32266
676,,,6489983,39282227
677,,,43952,222001
678,,,323928,323928
679,,,7768371,47836282
680,,,686355,24622687
681,,,55347,1533324
682,,,7411522,30573626
683,,,21189,112386
684,,,78104,5470235
685,,,1758576,5102129
