,0
607,707875
608,374238
609,44002
610,954
611,970032
612,54324
613,472166
614,2005142
615,1100
616,3895
617,245006
618,889343
619,7082
620,3143056
621,4102648
622,18203
623,5137622
624,249122
625,64147
626,68549695
627,626318
628,110986
629,6352306
630,199963
631,5754556
632,185305
633,619597
634,148568
635,100335
636,77339130
637,83240103
638,11107431
639,11277120
640,11746
641,285795
642,1379497
643,161565
644,230808
645,3292
646,512947
647,11598
648,790628
649,17541090
650,500101
651,57520
652,74711
653,1144649
654,671198
655,31970
656,13793
657,215288866
658,22017
659,118344
660,192058
661,29719483
662,10153
663,1193046
664,14030
665,333388
666,213515506
667,1595902
668,511350
669,43968
670,466440
671,82698
672,229423
673,3679893
674,71971
675,1359
676,17790429
677,380030
678,8986631
679,46382
680,3243
681,28971
682,4215
683,401463
684,7072
685,44936545
686,46700633
687,81878
688,144738
689,54920
690,37058
691,290498
692,26759
693,10402
694,1520
695,451
696,6701
697,812
698,123830
699,8803865
700,7362439
701,104079
702,1050616
703,13509
704,159342015
705,87400
706,260136
707,207140
708,1195758
709,417783
710,22083
711,147423
712,238379
713,718991
714,70421
715,17325
716,3511417
717,27723
718,5458621
719,11257
720,15767460
721,2488
722,167937
723,63570
724,13926
725,60607
726,158723
727,1368
728,4412170
729,14905
730,252676
731,771930
732,1023233
733,1175067
734,334983
735,421572
736,105271
737,54858851
738,113956
739,6788692
740,36686
741,1633208
742,1267301
743,58090
744,216428042
745,63204
746,442073
747,731018
748,31713110
749,540707
750,39601
751,2000105
752,14316
753,1449848
754,113274
755,180946
756,9893
757,270620950
758,68407
759,4461
760,4667
761,5213
762,14841338
763,21704844
764,5210
765,109608
766,13337
767,12316
768,10003
769,849710
770,510241
771,171177
772,178133
773,413039
774,28556
775,3829
776,91000
777,3643903
778,11947
779,67363237
780,85080171
781,551876
782,2294915
783,7427
784,42402632
785,3429
786,159555901
787,8208
788,523664
789,115715889
790,201091711
791,268644
792,30824628
793,1034
794,3313513
795,36506
796,34366783
797,120486
798,789170
799,233585
800,170113
801,99488
802,2607916
803,812794
804,14914
805,1376
806,12350
807,545597
808,16172
809,29538
810,1298641
811,15241
812,203775
813,10389
814,101417
815,14837422
816,4152000
817,24262
818,307686
819,304482
820,127281
821,187946
822,18527
823,26167
824,83672
825,21456
826,20726
827,20471
828,3703184
829,1875283
830,18829
831,4450456
832,17252
833,38510
834,901131
835,833050
836,727119
837,16468499
838,52874
839,4145
840,1469
841,151983
842,928298
843,695130
844,117162
845,6100309
846,187320
847,190241310
848,103804407
849,87993
850,6235
851,1447
852,15951040
853,14915773
854,1319
855,174686
856,1661096
857,54916
858,1882931
859,17956913
860,171958438
861,105678
862,4580048
863,335061807
864,127195589
865,10763520
866,1035388
867,32266
868,39282227
869,222001
870,323928
871,47836282
872,24622687
873,1533324
874,30573626
875,112386
876,5470235
877,5102129
