,0
786,-268
787,9
788,2
789,-245
790,-224
791,-228
792,-315
793,9
794,-205
795,-
796,-226
797,-240
798,-
799,-
800,1
801,-
802,-257
803,-281
804,-282
805,20
806,6
807,-331
808,-324
809,9
810,-177
811,20
812,30
813,-
814,20
815,-282
816,6
817,9
818,-
819,-
820,4
821,1
822,-
823,-315
824,-
825,-303
826,20
827,-338
828,-289
829,-237
830,-184
831,-139
832,-
833,-331
834,-338
835,6
836,-335
837,-310
838,-
839,6
840,-
841,2
842,3
843,6
844,2
845,-322
846,-337
847,-254
848,-275
849,-324
850,13
851,6
852,-331
853,-247
854,-
855,-
856,-198
857,-
858,4
859,-222
860,-252
861,-345
862,-261
863,-261
864,-289
865,-338
866,-
867,-226
868,-303
869,-328
870,-
871,-258
872,-293
873,-279
874,-307
875,-337
876,-223
877,-328
