,0
637,23045635
638,5130963
639,142131
640,4174
641,121391
642,705063
643,11087
644,43573
645,274
646,-
647,8150
648,581950
649,294288
650,118697
651,8600
652,35490
653,539245
654,-
655,4416
656,4734
657,42908051
658,16564
659,7107
660,14909
661,512035
662,5419
663,278677
664,9949
665,205842
666,80255756
667,1187275
668,408627
669,2160
670,38886
671,-
672,6094
673,1162988
674,51115
675,815
676,7132647
677,84512
678,218888
679,31477
680,1402
681,10511
682,2375
683,29077
684,4222
685,16006065
686,15802225
687,81878
688,83205
689,3086
690,26579
691,-
692,4374
693,4355
694,840
695,-
696,5212
697,556
698,12885
699,161510
700,258157
701,67612
702,104589
703,4412
704,76221545
705,16817
706,17683
707,60050
708,898384
709,-
710,6536
711,-
712,-
713,26130
714,39565
715,5847
716,1503101
717,3984
718,184037
719,6511
720,6653777
721,1453
722,18326
723,5172
724,4279
725,14180
726,90480
727,1352
728,1638895
729,7424
730,168575
731,73700
732,765549
733,494054
734,-
735,-
736,-
737,20352491
738,53000
739,207057
740,5996
741,60491
742,91915
743,32952
744,51061119
745,-
746,-
747,-
748,13743111
749,288095
750,23376
751,51543
752,1983
753,1185386
754,-
755,80485
756,6349
757,67572855
758,7509
759,2515
760,4667
761,2686
762,7810112
763,10202108
764,3090
765,23348
766,8090
767,-
768,-
769,639253
770,321704
771,168718
772,-
773,-
774,-
775,2840
776,-
777,2420197
778,2437
779,14504315
780,320429
781,71187
782,92856
783,340
784,12361307
785,2271
786,62163104
787,5175
788,197172
789,35574710
790,56237634
791,22482
792,9195670
793,456
794,89264
795,9263
796,422410
797,5361
798,255299
799,102223
800,-
801,-
802,291936
803,63325
804,4324
805,-
806,8715
807,52588
808,5127
809,-
810,-
811,-
812,50011
813,183
814,42133
815,6401744
816,2775000
817,22056
818,307686
819,304482
820,73560
821,187824
822,-
823,4128
824,-
825,6059
826,10974
827,10336
828,80734
829,271061
830,3080
831,57353
832,-
833,18833
834,407118
835,566760
836,155714
837,194777
838,-
839,2770
840,580
841,151972
842,566045
843,473802
844,-
845,2683200
846,10238
847,35363376
848,17509431
849,34273
850,3256
851,579
852,7559850
853,224476
854,1319
855,12678
856,24988
857,54916
858,1333159
859,-
860,23523121
861,35363
862,54353
863,67873522
864,21654047
865,2354205
866,1035388
867,1844
868,6489983
869,43952
870,323928
871,7768371
872,686355
873,55347
874,7411522
875,21189
876,78104
877,1758576
